distance,dropoff_h3,duration,pickup_h3
28256.7,8a2a1008d38ffff,1584.0,882a103b39fffff
29642.8,8a2a100898cffff,1653.2,882a103b39fffff
27113.0,8a2a100d2aa7fff,1535.5,882a103b39fffff
29080.2,8a2a10089807fff,1629.0,882a103b39fffff
28072.3,8a2a1008dcd7fff,1597.3,882a103b39fffff
33578.4,8a2a100a1207fff,1777.2,882a103b39fffff
30285.7,8a2a107258a7fff,1815.8,882a103b39fffff
28193.9,8a2a1008b217fff,1673.9,882a103b39fffff
31451.4,8a2a1008805ffff,1787.4,882a103b39fffff
27644.7,8a2a1008921ffff,1608.8,882a103b39fffff
28506.5,8a2a1008cb37fff,1621.8,882a103b39fffff
28604.3,8a2a1008bb6ffff,1657.7,882a103b39fffff
28733.9,8a2a1008b2b7fff,1700.6,882a103b39fffff
28230.7,8a2a1008bac7fff,1639.4,882a103b39fffff
28594.4,8a2a100d2587fff,1637.1,882a103b39fffff
32796.3,8a2a10088997fff,1841.8,882a103b39fffff
28343.7,8a2a1008bae7fff,1647.3,882a103b39fffff
31208.5,8a2a100aa0affff,1788.8,882a103b39fffff
28788.8,8a2a1008d417fff,1650.4,882a103b39fffff
29563.4,8a2a10721aeffff,1816.6,882a103b39fffff
29319.6,8a2a107252dffff,1699.4,882a103b39fffff
23299.2,8a2a1072cad7fff,1498.2,882a103b39fffff
24508.6,8a2a1072c857fff,1660.6,882a103b39fffff
30212.1,8a2a1008bd6ffff,1826.8,882a103b39fffff
27812.2,8a2a1008935ffff,1619.4,882a103b39fffff
33577.2,8a2a100a16f7fff,1780.3,882a103b39fffff
26757.3,8a2a100d6837fff,1527.8,882a103b39fffff
27864.1,8a2a1008dceffff,1583.4,882a103b39fffff
29518.5,8a2a10088b57fff,1698.2,882a103b39fffff
35070.4,8a2a100a1097fff,1862.8,882a103b39fffff
27983.5,8a2a100d274ffff,1650.3,882a103b39fffff
27292.8,8a2a100d200ffff,1556.2,882a103b39fffff
32666.3,8a2a100ae61ffff,1738.7,882a103b39fffff
27071.7,8a2a100d2047fff,1529.5,882a103b39fffff
29917.7,8a2a1008c65ffff,1742.2,882a103b39fffff
28268.8,8a2a1008cb57fff,1602.6,882a103b39fffff
35731.6,8a2a100ae7b7fff,1870.7,882a103b39fffff
28051.4,8a2a1008b20ffff,1651.8,882a103b39fffff
34666.7,8a2a100a10affff,1890.8,882a103b39fffff
28093.8,8a2a100d64effff,1563.4,882a103b39fffff
29866.7,8a2a10089c6ffff,1681.4,882a103b39fffff
28701.3,8a2a100ab667fff,1619.6,882a103b39fffff
29644.9,8a2a10089497fff,1727.4,882a103b39fffff
34408.6,8a2a100a1087fff,1873.0,882a103b39fffff
27138.8,8a2a100d2a97fff,1547.7,882a103b39fffff
27823.3,8a2a1008d00ffff,1572.5,882a103b39fffff
26778.0,8a2a100d6247fff,1451.8,882a103b39fffff
27367.2,8a2a1008dc07fff,1549.3,882a103b39fffff
24255.0,8a2a1072c0a7fff,1627.7,882a103b39fffff
27724.3,8a2a1008cacffff,1549.8,882a103b39fffff
28108.3,8a2a1008cae7fff,1581.8,882a103b39fffff
29192.2,8a2a10089817fff,1608.4,882a103b39fffff
28873.9,8a2a1008bb07fff,1698.8,882a103b39fffff
29696.2,8a2a100d3667fff,1657.0,882a103b39fffff
25402.2,8a2a107281affff,1748.9,882a103b39fffff
28227.0,8a2a10089707fff,1632.6,882a103b39fffff
24864.1,8a2a100d3c4ffff,1695.4,882a103b39fffff
34336.6,8a2a100a1a97fff,1830.7,882a103b39fffff
26624.0,8a2a1008d8affff,1473.9,882a103b39fffff
32011.6,8a2a100aac67fff,1806.4,882a103b39fffff
31851.3,8a2a100880f7fff,1775.5,882a103b39fffff
33575.4,8a2a100a1647fff,1777.5,882a103b39fffff
26328.2,8a2a100f64b7fff,1440.7,882a103b39fffff
27496.8,8a2a100893affff,1563.5,882a103b39fffff
27944.1,8a2a100d234ffff,1640.4,882a103b39fffff
28860.5,8a2a100d2267fff,1667.8,882a103b39fffff
30159.8,8a2a100aa74ffff,1738.6,882a103b39fffff
24926.7,8a2a1072cc77fff,1720.7,882a103b39fffff
23947.0,8a2a1072dd77fff,1597.6,882a103b39fffff
30284.6,8a2a100aa287fff,1735.8,882a103b39fffff
23778.3,8a2a1072cb9ffff,1560.0,882a103b39fffff
32577.1,8a2a100ae877fff,1695.6,882a103b39fffff
24028.3,8a2a1072c00ffff,1593.1,882a103b39fffff
29639.7,8a2a10089ac7fff,1649.2,882a103b39fffff
27548.5,8a2a100d6d27fff,1568.8,882a103b39fffff
26719.6,8a2a100d2897fff,1456.3,882a103b39fffff
26394.8,8a2a100d6b9ffff,1491.7,882a103b39fffff
29352.9,8a2a1008c8e7fff,1670.9,882a103b39fffff
24607.6,8a2a1072880ffff,1618.9,882a103b39fffff
25823.9,8a2a100d294ffff,1372.4,882a103b39fffff
25900.3,8a2a1072d91ffff,1669.6,882a103b39fffff
23748.5,8a2a1072d527fff,1569.8,882a103b39fffff
27121.6,8a2a100d4597fff,1561.7,882a103b39fffff
25196.8,8a2a1072cc07fff,1773.6,882a103b39fffff
26051.8,8a2a100d286ffff,1398.6,882a103b39fffff
27546.4,8a2a1008dda7fff,1548.1,882a103b39fffff
28376.4,8a2a1072514ffff,1562.5,882a103b39fffff
27055.1,8a2a100d6987fff,1536.2,882a103b39fffff
25144.2,8a2a1072c98ffff,1751.7,882a103b39fffff
28969.0,8a2a1008d60ffff,1656.5,882a103b39fffff
27895.2,8a2a100ab6a7fff,1565.3,882a103b39fffff
24364.9,8a2a1072cb37fff,1642.8,882a103b39fffff
32125.0,8a2a100aea97fff,1689.1,882a103b39fffff
23511.6,8a2a1072dd37fff,1600.7,882a103b39fffff
29743.6,8a2a1008912ffff,1663.4,882a103b39fffff
28842.0,8a2a10089877fff,1587.2,882a103b39fffff
31067.1,8a2a100aa0c7fff,1853.1,882a103b39fffff
28093.2,8a2a1008d21ffff,1577.0,882a103b39fffff
24745.7,8a2a1072816ffff,1639.1,882a103b39fffff
29245.1,8a2a1008b0cffff,1726.1,882a103b39fffff
26853.6,8a2a100d4437fff,1533.6,882a103b39fffff
30801.8,8a2a100aa0f7fff,1789.0,882a103b39fffff
32700.2,8a2a100ae8c7fff,1722.5,882a103b39fffff
27653.8,8a2a100892a7fff,1611.0,882a103b39fffff
32575.9,8a2a100888b7fff,1833.0,882a103b39fffff
27868.9,8a2a1008962ffff,1627.8,882a103b39fffff
28205.6,8a2a100ab467fff,1585.8,882a103b39fffff
27730.1,8a2a10725a2ffff,1534.0,882a103b39fffff
33189.8,8a2a100ae547fff,1742.0,882a103b39fffff
24966.9,8a2a1072c787fff,1694.4,882a103b39fffff
28842.1,8a2a1008982ffff,1565.8,882a103b39fffff
29531.8,8a2a100aaacffff,1597.5,882a103b39fffff
27550.2,8a2a100d20affff,1573.6,882a103b39fffff
27615.7,8a2a100d6c87fff,1572.7,882a103b39fffff
29572.8,8a2a1008c977fff,1706.6,882a103b39fffff
34382.6,8a2a100a114ffff,1840.4,882a103b39fffff
32421.4,8a2a100ae147fff,1726.0,882a103b39fffff
26822.0,8a2a100d2a8ffff,1506.2,882a103b39fffff
24034.5,8a2a100d36dffff,1604.8,882a103b39fffff
27406.4,8a2a10089247fff,1596.4,882a103b39fffff
35768.9,8a2a100a14cffff,1906.7,882a103b39fffff
30955.7,8a2a10089caffff,1745.7,882a103b39fffff
29402.0,8a2a100ab497fff,1712.2,882a103b39fffff
24436.7,8a2a1072d99ffff,1676.3,882a103b39fffff
28230.2,8a2a1008dc87fff,1601.2,882a103b39fffff
27381.8,8a2a100d671ffff,1511.6,882a103b39fffff
28889.0,8a2a1008d62ffff,1658.1,882a103b39fffff
33142.1,8a2a1008c657fff,1855.7,882a103b39fffff
30090.5,8a2a10088a6ffff,1695.0,882a103b39fffff
26695.6,8a2a100d611ffff,1511.4,882a103b39fffff
26896.6,8a2a1008d88ffff,1499.9,882a103b39fffff
29298.1,8a2a10088b2ffff,1677.7,882a103b39fffff
28480.7,8a2a1008944ffff,1661.1,882a103b39fffff
28778.3,8a2a100ab52ffff,1632.6,882a103b39fffff
29004.4,8a2a10721927fff,1680.3,882a103b39fffff
29365.4,8a2a10721a67fff,1792.0,882a103b39fffff
28256.7,8a2a1008d467fff,1623.1,882a103b39fffff
32531.0,8a2a100ae60ffff,1719.3,882a103b39fffff
28346.6,8a2a100f649ffff,1577.9,882a103b39fffff
26631.0,8a2a100d6287fff,1439.6,882a103b39fffff
25325.1,8a2a1072cc97fff,1742.6,882a103b39fffff
23743.8,8a2a1072ca37fff,1563.0,882a103b39fffff
29703.9,8a2a1008d79ffff,1742.7,882a103b39fffff
29961.7,8a2a1072180ffff,1751.2,882a103b39fffff
29617.3,8a2a1072591ffff,1664.3,882a103b39fffff
27477.9,8a2a100d60e7fff,1513.6,882a103b39fffff
29184.0,8a2a10089577fff,1736.5,882a103b39fffff
29576.4,8a2a1008916ffff,1688.6,882a103b39fffff
30811.2,8a2a100aa057fff,1760.6,882a103b39fffff
37518.9,8a2a100a1577fff,1984.4,882a103b39fffff
29307.2,8a2a100899affff,1608.7,882a103b39fffff
29364.1,8a2a10089527fff,1756.8,882a103b39fffff
29494.0,8a2a10088b37fff,1694.5,882a103b39fffff
25774.1,8a2a10728187fff,1756.8,882a103b39fffff
28601.8,8a2a100ab447fff,1635.2,882a103b39fffff
36417.4,8a2a100aad27fff,1898.0,882a103b39fffff
28139.5,8a2a1008ca77fff,1600.0,882a103b39fffff
29845.7,8a2a100aaadffff,1676.1,882a103b39fffff
24048.0,8a2a1072c0dffff,1601.9,882a103b39fffff
32798.8,8a2a100ae65ffff,1749.3,882a103b39fffff
26467.1,8a2a100d32b7fff,1709.2,882a103b39fffff
30919.9,8a2a100aa007fff,1765.8,882a103b39fffff
28498.9,8a2a107253b7fff,1595.8,882a103b39fffff
24648.6,8a2a10728b9ffff,1634.2,882a103b39fffff
29346.3,8a2a1008b847fff,1759.9,882a103b39fffff
35598.5,8a2a100ae45ffff,1865.3,882a103b39fffff
27327.3,8a2a100892dffff,1566.9,882a103b39fffff
26644.0,8a2a100d441ffff,1542.7,882a103b39fffff
27526.6,8a2a100892f7fff,1602.3,882a103b39fffff
29131.5,8a2a10089cf7fff,1730.7,882a103b39fffff
26185.2,8a2a10728b27fff,1721.4,882a103b39fffff
25547.4,8a2a10728167fff,1690.7,882a103b39fffff
27635.2,8a2a100d2227fff,1615.6,882a103b39fffff
27466.1,8a2a10725b4ffff,1531.4,882a103b39fffff
27974.7,8a2a10725a8ffff,1543.2,882a103b39fffff
27333.1,8a2a100ab6e7fff,1541.7,882a103b39fffff
32092.1,8a2a100ae0dffff,1670.0,882a103b39fffff
24303.0,8a2a1072885ffff,1582.5,882a103b39fffff
28322.5,8a2a100d3cd7fff,1611.6,882a103b39fffff
30789.1,8a2a100aa147fff,1764.0,882a103b39fffff
26560.2,8a2a100d285ffff,1461.6,882a103b39fffff
28156.2,8a2a100d2747fff,1658.6,882a103b39fffff
27275.5,8a2a1008965ffff,1556.7,882a103b39fffff
29667.4,8a2a100d366ffff,1650.9,882a103b39fffff
30090.5,8a2a1008d69ffff,1695.0,882a103b39fffff
27693.0,8a2a100d4d97fff,1605.9,882a103b39fffff
28968.6,8a2a100ab5a7fff,1639.3,882a103b39fffff
29029.9,8a2a100ab5affff,1660.5,882a103b39fffff
27024.3,8a2a1008dd57fff,1493.0,882a103b39fffff
23631.0,8a2a100d3757fff,1596.0,882a103b39fffff
28667.9,8a2a100d226ffff,1646.3,882a103b39fffff
29368.4,8a2a1008b027fff,1736.4,882a103b39fffff
24365.9,8a2a10728987fff,1609.3,882a103b39fffff
27682.8,8a2a100d600ffff,1527.2,882a103b39fffff
23513.0,8a2a100d3627fff,1581.7,882a103b39fffff
29341.7,8a2a10725837fff,1676.7,882a103b39fffff
34899.2,8a2a100a155ffff,1835.9,882a103b39fffff
27697.4,8a2a100d0c97fff,1550.4,882a103b39fffff
24815.5,8a2a1072c88ffff,1704.5,882a103b39fffff
32081.0,8a2a10088017fff,1838.7,882a103b39fffff
30189.4,8a2a100aaa8ffff,1705.4,882a103b39fffff
28260.7,8a2a1008ca9ffff,1612.1,882a103b39fffff
29904.0,8a2a1008b667fff,1674.3,882a103b39fffff
28090.6,8a2a10089307fff,1638.8,882a103b39fffff
29842.3,8a2a1008b98ffff,1758.2,882a103b39fffff
28380.6,8a2a100d272ffff,1692.3,882a103b39fffff
29870.9,8a2a1008910ffff,1662.5,882a103b39fffff
28298.8,8a2a1008ca07fff,1590.2,882a103b39fffff
29538.9,8a2a100899b7fff,1627.4,882a103b39fffff
